iter	Passed	Remaining
400	15916	103159
401	15954	103110
402	15991	103054
403	16029	103004
404	16068	102956
405	16106	102907
406	16144	102857
407	16182	102807
408	16220	102753
409	16256	102695
410	16294	102644
411	16334	102604
412	16373	102562
413	16410	102507
414	16447	102452
415	16484	102396
416	16523	102353
417	16563	102315
418	16602	102270
419	16639	102217
420	16678	102172
421	16718	102135
422	16756	102086
423	16796	102043
424	16833	101990
425	16872	101947
426	16910	101900
427	16948	101850
428	16986	101799
429	17024	101749
430	17062	101699
431	17100	101652
432	17137	101599
433	17175	101550
434	17212	101496
435	17250	101445
436	17289	101401
437	17327	101352
438	17365	101307
439	17403	101258
440	17442	101214
441	17480	101166
442	17518	101117
443	17556	101071
444	17594	101022
445	17632	100972
446	17671	100929
447	17713	100903
448	17751	100853
449	17788	100801
450	17826	100755
451	17866	100717
452	17902	100658
453	17939	100604
454	17976	100550
455	18014	100503
456	18052	100454
457	18091	100411
458	18130	100369
459	18167	100314
460	18205	100268
461	18242	100217
462	18280	100167
463	18318	100120
464	18357	100080
465	18395	100032
466	18434	99986
467	18472	99940
468	18510	99893
469	18549	99851
470	18587	99806
471	18625	99759
472	18664	99716
473	18704	99679
474	18741	99627
475	18780	99583
476	18817	99529
477	18854	99480
478	18891	99428
479	18929	99377
480	18967	99333
481	19005	99287
482	19045	99247
483	19083	99202
484	19121	99156
485	19159	99107
486	19197	99061
487	19237	99025
488	19275	98977
489	19316	98947
490	19356	98910
491	19395	98872
492	19434	98830
493	19474	98789
494	19513	98747
495	19551	98702
496	19589	98655
497	19627	98609
498	19666	98569
499	19705	98529
500	19744	98487
501	19782	98437
502	19819	98390
503	19857	98341
504	19896	98298
505	19935	98260
506	19972	98210
507	19989	98058
508	20026	98008
509	20063	97958
510	20101	97911
511	20140	97869
512	20179	97828
513	20218	97786
514	20256	97740
515	20293	97692
516	20332	97651
517	20371	97608
518	20409	97564
519	20446	97513
520	20483	97465
521	20521	97419
522	20561	97380
523	20598	97333
524	20636	97285
525	20674	97241
526	20713	97201
527	20752	97159
528	20790	97114
529	20827	97065
530	20864	97016
531	20903	96972
532	20940	96924
533	20978	96879
534	21017	96838
535	21055	96793
536	21093	96746
537	21130	96696
538	21167	96649
539	21207	96611
540	21245	96566
541	21282	96519
542	21320	96470
543	21357	96421
544	21395	96375
545	21432	96328
546	21471	96289
547	21509	96242
548	21547	96198
549	21584	96150
550	21622	96104
551	21663	96074
552	21703	96037
553	21740	95990
554	21778	95945
555	21816	95897
556	21856	95860
557	21894	95818
558	21932	95774
559	21969	95725
560	22007	95677
561	22045	95633
562	22084	95593
563	22122	95549
564	22159	95502
565	22197	95455
566	22235	95412
567	22275	95378
568	22315	95342
569	22354	95299
